MES,CODIGO_OBJETIVO,CONFIGURACION,VIAJES_ORIGINADOS,VIAJES_DESCARGADOS,DIFERENCIA,INDICE_CARGUE_DESCARGUE
202412,5400000,3S3,172,86,86,2
202412,5400000,4,2,0,2,NA
202412,5400000,CA,7,232,-225,0.03
202412,5400000,V3,218,2,216,109
202412,5400000,V4,28,0,28,NA
202412,5400001,2,0,6,-6,0
202412,5411000,2,1,28,-27,0.04
202412,5411000,3,4,2,2,2
202412,5411000,CA,0,8,-8,0
202412,5411000,V2,0,8,-8,0
202412,5411001,2,0,10,-10,0
202412,5411007,2S2,1,0,1,NA
202412,5411007,3S2,0,1,-1,0
202412,5425000,2,49,101,-52,0.49
202412,5425000,3,2,35,-33,0.06
202412,5425000,3S2,2,47,-45,0.04
202412,5425000,3S3,6,11,-5,0.55
202412,5425000,4,0,10,-10,0
202412,5425000,CA,2,13,-11,0.15
202412,5425000,V3,0,16,-16,0
202412,5425001,2,0,1,-1,0
202412,5425003,2,1,0,1,NA
202412,5425005,2,1,2,-1,0.5
202412,5425005,3S3,14,1,13,14
202412,5425005,CA,0,1,-1,0
202412,5440000,2,1872,1166,706,1.61
202412,5440000,2R2,0,6,-6,0
202412,5440000,2S2,4,9,-5,0.44
202412,5440000,2S3,3,3,0,1
202412,5440000,3,63,42,21,1.5
202412,5440000,3S2,31,24,7,1.29
202412,5440000,3S3,86,556,-470,0.15
202412,5440000,4,0,1,-1,0
202412,5440000,CA,106,452,-346,0.23
202412,5440000,V3,0,36,-36,0
202412,5440001,2,0,1,-1,0
202412,5440001,3S3,0,8,-8,0
202412,5467000,2,21,7,14,3
202412,5467000,2S2,0,7,-7,0
202412,5467000,3,0,2,-2,0
202412,5467000,CA,2,12,-10,0.17
202412,5480000,2,4,152,-148,0.03
202412,5480000,3,2,7,-5,0.29
202412,5480000,3S2,1,1,0,1
202412,5480000,3S3,1,42,-41,0.02
202412,5480000,CA,1,22,-21,0.05
202412,5480004,2,0,2,-2,0
202412,5480004,3,1,0,1,NA
202412,5480004,3S3,2,0,2,NA
202412,5480006,2,0,20,-20,0
202412,5480006,3,0,6,-6,0
202412,5480006,3S3,0,6,-6,0
202412,5483000,2,3,29,-26,0.1
202412,5483000,3,1,10,-9,0.1
202412,5483000,3S2,0,1,-1,0
202412,5483000,3S3,0,1,-1,0
202412,5483000,CA,0,9,-9,0
202412,5490000,2,49,281,-232,0.17
202412,5490000,2B2,0,1,-1,0
202412,5490000,2R2,2,0,2,NA
202412,5490000,2S2,1,0,1,NA
202412,5490000,2S3,1,0,1,NA
202412,5490000,3,4,13,-9,0.31
202412,5490000,3S2,3,4,-1,0.75
202412,5490000,3S3,8,18,-10,0.44
202412,5490000,CA,1,50,-49,0.02
202412,5490004,2,0,2,-2,0
202412,5495000,2,2,67,-65,0.03
202412,5495000,2B2,0,1,-1,0
202412,5495000,3,0,5,-5,0
202412,5495000,3S2,0,2,-2,0
202412,5495000,3S3,7,9,-2,0.78
202412,5495000,CA,0,4,-4,0
202412,5495005,3S3,0,4,-4,0
202412,5501000,2,1,0,1,NA
202412,5501000,3,0,1,-1,0
202412,5541000,2,5,56,-51,0.09
202412,5541000,2S2,0,25,-25,0
202412,5541000,2S3,0,1,-1,0
202412,5541000,3,0,1,-1,0
202412,5541000,3S2,0,1,-1,0
