MES,RUTA_CONFIGURACION,VALOR_MERCADO,UTILIZACION_MERCADO,NUM_VIAJES_MERCADO,VALOR_REMESAS,UTILIZACION_REMESAS,NUM_VIAJES_REMESAS, VALOR_PROMEDIO_MERCADO ,RUTA_ANALISIS,CONFIGURACION_ANALISIS,CODIGO_ORIGEN,CODIGO_DESTINO
202501,11001000-25126000-3,682930.9032,0.5625,2,786785.0333,0.586,30,789957.9842,11001000-25126000,3,11001000,25126000
202501,11001000-25126000-3S2,1955933.6,0.475806452,2,2593222.667,0.366666667,6,2478605.462,11001000-25126000,3S2,11001000,25126000
202501,11001000-25126000-3S3,1414200.5,0.948529412,4,1414200.5,0.9475,4,1499052.53,11001000-25126000,3S3,11001000,25126000
202501,11001000-25151000-3,952000,0.9375,2,952000,0.935,2,1009120,11001000-25151000,3,11001000,25151000
202501,11001000-25151000-3S2,1000000,0.693548387,1,1000000,0.69,1,1060000,11001000-25151000,3S2,11001000,25151000
202501,11001000-25151000-3S3,2553333.333,0.884568182,3,6460000,1,1,5191173.333,11001000-25151000,3S3,11001000,25151000
202501,11001000-25175000-2S2,837500,0.468181818,2,970588.2353,0.560588235,17,972394.1176,11001000-25175000,2S2,11001000,25175000
202501,11001000-25175000-2S3,806666.6667,0.50617284,3,806666.6667,0.506666667,3,855066.6667,11001000-25175000,2S3,11001000,25175000
202501,11001000-25175000-3,515000,0.875,2,515000,0.875,2,545900,11001000-25175000,3,11001000,25175000
202501,11001000-25175000-3S2,890000,0.409677419,1,946666.6667,0.41,15,979440,11001000-25175000,3S2,11001000,25175000
202501,11001000-25175000-3S3,1057412.6,0.723058824,5,1246890,0.472727273,11,1241364.982,11001000-25175000,3S3,11001000,25175000
202501,11001000-25183000-3,1050913.75,0.605902778,2,1130137.857,0.586428571,14,1164355.107,11001000-25183000,3,11001000,25183000
202501,11001000-25200000-2S3,720000,0.647111111,1,720000,0.65,1,763200,11001000-25200000,2S3,11001000,25200000
202501,11001000-25200000-3S2,1035000,0.412064516,1,1035000,0.41,2,1097100,11001000-25200000,3S2,11001000,25200000
202501,11001000-25200000-3S3,600000,0.548264706,1,NA,NA,NA,636000,11001000-25200000,3S3,11001000,25200000
202501,11001000-25214000-2S2,811143.619,0.599104272,27,910310.6667,0.568571429,189,922882.4785,11001000-25214000,2S2,11001000,25214000
202501,11001000-25214000-2S3,790017.1358,0.502057613,9,760189.9286,0.4675,28,818448.0602,11001000-25214000,2S3,11001000,25214000
202501,11001000-25214000-3,582250,0.678571429,4,709666.6667,0.646666667,3,698222,11001000-25214000,3,11001000,25214000
202501,11001000-25214000-3S2,831096.4091,0.46047324,11,1053327.52,0.484,25,1022301.18,11001000-25214000,3S2,11001000,25214000
202501,11001000-25214000-3S3,1204884.657,0.679952967,17,1215896.75,0.79825,40,1284181.427,11001000-25214000,3S3,11001000,25214000
202501,11001000-25214008-2S2,575000,0.707070707,3,862500,0.75,4,792350,11001000-25214008,2S2,11001000,25214008
202501,11001000-25214008-2S3,2570000,0.814814815,1,2570000,0.81,1,2724200,11001000-25214008,2S3,11001000,25214008
202501,11001000-25214008-3S3,1285000,0.625,2,2570000,0.51,1,2179360,11001000-25214008,3S3,11001000,25214008
202501,11001000-25224000-3S3,2750000,0.411764706,1,3000000,0.59,1,3074000,11001000-25224000,3S3,11001000,25224000
202501,11001000-25260000-3S3,275000,0.523529412,2,550000,0.4,2,466400,11001000-25260000,3S3,11001000,25260000
202501,11001000-25269000-2S2,1000000,0.659090909,2,1000000,0.66,2,1060000,11001000-25269000,2S2,11001000,25269000
202501,11001000-25269000-2S3,1100000,0.526765432,3,1100000,0.406666667,3,1166000,11001000-25269000,2S3,11001000,25269000
202501,11001000-25269000-3S3,1690000,0.970588235,4,1823636.364,0.989090909,11,1876392.727,11001000-25269000,3S3,11001000,25269000
202501,11001000-25286000-2S2,859848.4962,0.54102297,52,927430.6271,0.525478548,303,954421.6412,11001000-25286000,2S2,11001000,25286000
202501,11001000-25286000-2S3,754801.1754,0.555840788,13,584562.589,0.537945205,73,691817.505,11001000-25286000,2S3,11001000,25286000
202501,11001000-25286000-3,1485000,1.062572351,4,2127500,1.155,4,1982730,11001000-25286000,3,11001000,25286000
202501,11001000-25286000-3S2,808072.0024,0.659232497,22,1002257.49,0.695490196,51,980058.2928,11001000-25286000,3S2,11001000,25286000
202501,11001000-25286000-3S3,875111.4577,0.668098211,29,840919.6744,0.712,215,905872.171,11001000-25286000,3S3,11001000,25286000
202501,11001000-25290000-2S2,1500000,0.454545455,1,1500000,0.45,1,1590000,11001000-25290000,2S2,11001000,25290000
202501,11001000-25290000-3,1500000,1,1,1500000,1,1,1590000,11001000-25290000,3,11001000,25290000
202501,11001000-25290000-3S2,2702500,0.64516129,2,2702500,0.645,2,2864650,11001000-25290000,3S2,11001000,25290000
